,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,sidi ali,DZ,70.58,36.1,0.42,69.0,0.0,3.6
1,butaritari,KI,85.61,3.07,172.79,99.0,64.0,18.25
2,leningradskiy,RU,13.79,69.38,178.42,100.0,48.0,7.63
3,atuona,PF,76.74,-9.8,-139.03,100.0,100.0,7.74
4,sisimiut,GL,-5.16,66.94,-53.67,100.0,0.0,1.81
5,rikitea,PF,71.79,-23.12,-134.97,100.0,0.0,7.96
6,yellowknife,CA,12.2,62.45,-114.38,85.0,90.0,16.11
7,kostomuksha,RU,34.67,64.59,30.6,98.0,92.0,3.6
9,piopio,CL,53.6,-42.79,-73.57,93.0,90.0,4.7
10,upernavik,GL,19.01,72.79,-56.15,100.0,44.0,13.22
11,wajid,SO,89.3,3.81,43.25,38.0,36.0,3.6
12,kidal,ML,96.18,18.44,1.41,18.0,0.0,7.4
13,ushuaia,AR,40.24,-54.81,-68.31,69.0,75.0,14.99
14,kenai,US,30.99,60.55,-151.26,92.0,90.0,6.96
15,zhangjiakou,CN,24.09,40.77,114.88,78.0,0.0,5.61
16,east london,ZA,68.0,-33.02,27.91,64.0,0.0,18.34
17,hermanus,ZA,76.25,-34.42,19.24,35.0,0.0,7.18
18,dutlwe,BW,83.27,-23.98,23.93,23.0,0.0,5.61
19,bethel,US,26.96,60.79,-161.76,100.0,90.0,4.7
20,carnarvon,ZA,79.49,-30.97,22.13,6.0,0.0,10.65
22,airai,TL,67.16,-8.93,125.41,83.0,12.0,0.92
23,kapaa,US,71.47,22.08,-159.32,87.0,40.0,4.7
24,basco,US,32.18,40.33,-91.2,84.0,90.0,8.05
25,belmonte,PT,48.98,40.36,-7.35,99.0,92.0,10.76
26,victoria,BN,78.58,5.28,115.24,94.0,75.0,1.12
27,huanren,CN,40.52,41.26,125.37,98.0,92.0,3.27
28,amravati,IN,70.08,20.93,77.76,68.0,0.0,2.71
29,cape town,ZA,68.0,-33.93,18.42,64.0,0.0,21.92
30,zhuhai,CN,28.4,40.71,112.04,68.0,0.0,4.47
31,norman wells,CA,-11.21,65.28,-126.83,76.0,40.0,4.7
32,brae,GB,49.23,60.4,-1.35,93.0,40.0,13.87
33,kodiak,US,33.08,39.95,-94.76,81.0,90.0,5.82
34,mandera,ET,94.25,3.94,41.86,29.0,8.0,3.38
35,port elizabeth,US,52.32,39.31,-74.98,49.0,1.0,12.75
37,portland,US,34.11,45.52,-122.67,92.0,90.0,3.36
38,carndonagh,IE,51.8,55.25,-7.27,76.0,20.0,14.99
39,mataura,NZ,44.79,-46.19,168.86,80.0,92.0,7.63
40,saint-ambroise,FR,50.0,47.25,-0.65,87.0,0.0,8.05
42,saint-philippe,CA,43.07,45.36,-73.48,57.0,90.0,10.29
43,tacna,PE,69.8,-18.01,-70.25,60.0,20.0,8.05
44,grand-lahou,CI,89.79,5.24,-5.0,65.0,8.0,6.06
45,omboue,GA,79.76,-1.57,9.26,100.0,88.0,8.97
46,padang,ID,79.53,-0.92,100.36,100.0,80.0,1.59
47,nikolskoye,RU,41.0,59.7,30.79,86.0,90.0,6.71
48,byron bay,AU,62.6,-28.65,153.62,77.0,90.0,9.17
49,crystal lake,US,34.18,42.24,-88.32,66.0,90.0,3.36
50,suifenhe,CN,35.03,44.39,131.16,99.0,92.0,2.82
51,isangel,VU,75.62,-19.55,169.27,100.0,100.0,15.46
52,diamantino,BR,77.19,-14.4,-56.44,100.0,92.0,5.17
53,linxia,CN,17.79,35.6,103.21,64.0,0.0,3.6
54,carutapera,BR,87.81,-1.2,-46.02,67.0,8.0,13.11
55,busselton,AU,60.23,-33.64,115.35,100.0,0.0,20.71
56,arraial do cabo,BR,71.6,-22.97,-42.02,94.0,90.0,10.29
57,meulaboh,ID,76.29,4.14,96.13,100.0,92.0,9.53
58,tasiilaq,GL,35.6,65.61,-37.64,74.0,75.0,6.93
59,camacha,PT,69.8,33.08,-16.33,56.0,40.0,12.75
60,khatanga,RU,-22.58,71.98,102.47,66.0,48.0,18.92
61,fukue,JP,66.2,35.03,136.69,72.0,75.0,11.41
62,fillan,NO,44.6,63.6,8.98,81.0,0.0,6.93
63,dubna,RU,34.26,56.76,37.14,100.0,76.0,3.38
64,ahuimanu,US,70.97,21.44,-157.84,81.0,20.0,3.36
65,kaitangata,NZ,45.33,-46.28,169.85,93.0,92.0,5.17
66,baker city,US,20.21,44.77,-117.83,84.0,1.0,2.59
67,katsuura,JP,69.8,33.93,134.5,73.0,75.0,21.92
68,saint george,GR,57.2,39.45,22.34,93.0,75.0,2.93
69,mar del plata,AR,69.68,-46.43,-67.52,40.0,64.0,25.3
70,vilcun,CL,66.8,-38.65,-72.23,55.0,0.0,3.71
71,bambous virieux,MU,77.0,-20.34,57.76,78.0,20.0,6.93
72,marsh harbour,BS,81.83,26.54,-77.06,96.0,0.0,11.77
73,albany,US,44.55,42.65,-73.75,53.0,90.0,10.29
74,souillac,FR,55.4,45.6,-0.6,76.0,0.0,9.17
75,port hardy,CA,39.2,50.7,-127.42,100.0,75.0,3.36
76,luang prabang,LA,68.46,19.89,102.14,86.0,92.0,2.15
77,ancud,CL,53.43,-41.87,-73.83,99.0,92.0,9.53
78,new norfolk,AU,50.0,-42.78,147.06,66.0,75.0,8.05
79,vaini,IN,74.27,15.34,74.49,85.0,100.0,3.38
80,teacapan,MX,74.54,22.54,-105.74,61.0,0.0,2.59
81,muros,ES,46.4,42.77,-9.06,100.0,75.0,9.17
82,port alfred,ZA,72.02,-33.59,26.89,67.0,0.0,7.29
83,blagoyevo,RU,13.29,63.37,47.92,77.0,48.0,2.48
85,cidreira,BR,73.55,-30.17,-50.22,71.0,12.0,21.83
86,kungurtug,RU,6.99,50.6,97.53,74.0,36.0,4.61
87,wanning,AT,50.0,48.64,13.53,87.0,20.0,1.12
88,bluff,AU,63.11,-23.58,149.07,44.0,0.0,12.88
90,paamiut,GL,32.06,61.99,-49.67,100.0,0.0,10.09
91,san pedro,AR,78.63,-33.68,-59.66,60.0,0.0,12.55
92,ostrovnoy,RU,18.65,68.05,39.51,88.0,0.0,6.4
94,bathsheba,BB,86.0,13.22,-59.52,74.0,40.0,18.34
95,ostrogozhsk,RU,32.87,50.86,39.08,90.0,0.0,6.4
97,hilo,US,54.41,19.71,-155.08,78.0,75.0,4.7
98,klaksvik,FO,44.6,62.23,-6.59,81.0,40.0,19.46
99,margate,AU,50.0,-43.03,147.26,66.0,75.0,8.05
101,half moon bay,US,54.23,37.46,-122.43,26.0,1.0,9.17
102,hidalgo,US,83.23,26.1,-98.26,74.0,90.0,13.87
103,yining,CN,34.44,29.04,114.56,84.0,0.0,2.37
104,georgetown,GY,91.4,6.8,-58.16,55.0,40.0,11.41
105,tyrma,RU,11.81,50.04,132.17,85.0,48.0,2.59
106,cayenne,GF,87.8,4.94,-52.33,66.0,75.0,12.75
